,Predictions
2021-10-15,2802.8605694365
2021-10-16,2269.857504833402
2021-10-17,2477.7446676189566
2021-10-18,2766.663012964342
2021-10-19,2374.4250646618066
2021-10-20,4186.38753687686
2021-10-21,2634.951844927299
2021-10-22,3224.68255870187
2021-10-23,2642.151346948629
2021-10-24,2855.0622634381975
2021-10-25,3131.2947923583984
2021-10-26,2468.950334002105
2021-10-27,4471.224371582031
2021-10-28,4372.3538095703125
2021-10-29,2449.151579986282
2021-10-30,4226.552541992188
2021-10-31,2639.506497237933
2021-11-01,2433.130133038128
2021-11-02,2574.0297314615887
2021-11-03,4442.456954589844
2021-11-04,3804.2832221679687
2021-11-05,3462.759222167969
2021-11-06,3693.31345703125
2021-11-07,2953.0778152832036
2021-11-08,2977.109627731469
2021-11-09,4365.606648795573
2021-11-10,3207.0509963378904
2021-11-11,2557.4048094156906
2021-11-12,4457.364090332031
2021-11-13,3246.826096506464
2021-11-14,3909.518295410156
2021-11-15,2895.409423177083
2021-11-16,2839.7873823838972
2021-11-17,2721.42121206238
2021-11-18,2278.468039868164
2021-11-19,2782.9822414508153
2021-11-20,3380.38209671002
2021-11-21,2514.8578560709634
2021-11-22,2365.2184197221054
2021-11-23,2941.80436097412
2021-11-24,3470.1249267578123
2021-11-25,4515.03218359375
2021-11-26,4251.402609342448
2021-11-27,3916.721423828125
2021-11-28,2659.2645637964642
2021-11-29,2976.5465008050833
2021-11-30,3184.459712402344
2021-12-01,4439.677856689453
2021-12-02,2751.491074693309
2021-12-03,2279.159008544922
2021-12-04,4203.515927408854
2021-12-05,3727.249025390625
2021-12-06,2951.284001131185
2021-12-07,2811.795728597587
2021-12-08,2872.684104914784
2021-12-09,2426.051536032832
2021-12-10,2344.6956960199254
2021-12-11,2737.9002759399423
2021-12-12,2884.6572597363097
2021-12-13,3286.423640136719
2021-12-14,3556.6190576171875
2021-12-15,2395.4914807125037
2021-12-16,4146.902405273438
2021-12-17,2874.4843483979726
2021-12-18,3965.5009345703124
2021-12-19,2931.243004862467
2021-12-20,4194.48325
2021-12-21,3075.1263017578126
2021-12-22,4523.852405273437
2021-12-23,3225.668836588542
2021-12-24,2882.0524589395573
2021-12-25,2792.7725287566623
2021-12-26,3809.208485839844
2021-12-27,3695.511017089844
2021-12-28,2475.6380975917614
2021-12-29,2489.386311588542
2021-12-30,2789.6221084960935
2021-12-31,2276.46002652181
2022-01-01,2659.14468914698
2022-01-02,2641.1087841021813
2022-01-03,2630.4846950578967
2022-01-04,2878.2356344032896
2022-01-05,3092.3236778587698
2022-01-06,2681.727467911186
2022-01-07,4473.008431640625
2022-01-08,2730.3060624117334
2022-01-09,2904.9959223500696
2022-01-10,2493.2327210856124
2022-01-11,3005.172805873133
2022-01-12,2439.4524408208567
2022-01-13,4164.26706389974
2022-01-14,2837.779266478331
2022-01-15,2887.6973921872877
2022-01-16,4152.883190429688
2022-01-17,3276.1314285481767
2022-01-18,2825.7449168887183
2022-01-19,4499.406083007812
2022-01-20,2786.268121697125
2022-01-21,3237.044399437314
2022-01-22,2991.9715901851587
2022-01-23,2551.546467630441
2022-01-24,2650.6874083868124
2022-01-25,3665.356416015625
2022-01-26,3913.595216796875
2022-01-27,4240.707270670573
2022-01-28,2597.9386740722653
2022-01-29,2822.304271492126
2022-01-30,3006.559510196747
2022-01-31,2815.7221285603828
2022-02-01,4396.786823942057
2022-02-02,3166.8776396484377
2022-02-03,2349.8631992414194
2022-02-04,2856.8138125310034
2022-02-05,2695.5056747151693
2022-02-06,2774.079718026879
2022-02-07,2505.9727815673823
2022-02-08,2783.9401969629675
2022-02-09,2705.3844812232614
2022-02-10,2979.0929679113965
2022-02-11,3805.58386328125
2022-02-12,3684.882254394531
2022-02-13,4439.975762451172
2022-02-14,2843.5180174874436
2022-02-15,2507.9531187499992
2022-02-16,2569.7909910563153
2022-02-17,3930.271319254557
2022-02-18,2731.5378583772426
2022-02-19,2976.649644644601
2022-02-20,2760.0810218994134
2022-02-21,3006.334795272779
2022-02-22,4232.517628092448
2022-02-23,2362.892641573485
2022-02-24,2781.8843178831075
2022-02-25,3279.3040184570314
2022-02-26,2695.8293034098306
2022-02-27,3111.4109220172213
2022-02-28,3165.8041767578125
2022-03-01,4402.96022438151
2022-03-02,3939.1417387695315
2022-03-03,4357.975676199776
2022-03-04,3436.7155830078127
2022-03-05,2383.763530231585
2022-03-06,2444.003974995931
2022-03-07,2881.5859089957316
2022-03-08,2839.804989244249
2022-03-09,2983.9645320279565
2022-03-10,3012.7541680908207
2022-03-11,2773.7239114513577
2022-03-12,3443.958833984375
2022-03-13,2963.0927971871515
2022-03-14,3517.4519038085937
2022-03-15,3736.7791728515626
2022-03-16,3665.3432631835935
2022-03-17,2681.611280812275
2022-03-18,2632.599544848633
2022-03-19,3142.201930454799
2022-03-20,2852.192328112212
2022-03-21,2578.475803337364
2022-03-22,4399.7717826660155
2022-03-23,2312.0203081054688
2022-03-24,2801.7173407421383
2022-03-25,4365.989427376302
2022-03-26,2754.2224478742323
2022-03-27,2707.2079812261677
2022-03-28,4127.4030522460935
2022-03-29,4476.039375
2022-03-30,3221.60960531064
2022-03-31,2613.244558878581
2022-04-01,2706.093791233027
2022-04-02,2952.7949448160807
2022-04-03,2498.730024267578
2022-04-04,2925.8968752695214
2022-04-05,3630.4568803710936
2022-04-06,2336.398625170898
2022-04-07,2913.6091775842083
2022-04-08,2691.27275136835
2022-04-09,2270.324009498233
2022-04-10,3038.465634741211
2022-04-11,2477.5535626954534
2022-04-12,3849.7185454101564
2022-04-13,2929.9308683151976
2022-04-14,2918.3671250174384
2022-04-15,2862.637618199715
2022-04-16,2349.1913347208642
2022-04-17,2353.848350682431
2022-04-18,2761.4309447963165
2022-04-19,2428.5145565435523
2022-04-20,2782.9501758930496
2022-04-21,3405.512698689779
2022-04-22,4290.681873046875
2022-04-23,3936.9245551757813
2022-04-24,2783.583856797572
2022-04-25,3223.6227064883287
2022-04-26,2443.498807817538
2022-04-27,2709.6146575350313
2022-04-28,2743.97726220661
2022-04-29,3695.4692709960937
2022-04-30,2989.6649923211967
2022-05-01,2269.9482678722566
2022-05-02,2887.601267857193
2022-05-03,2641.969662793355
2022-05-04,2528.7738455403646
2022-05-05,2737.8500011840824
2022-05-06,4208.665115234375
2022-05-07,2751.7792489577873
2022-05-08,4397.9849415201825
2022-05-09,2809.3960451985677
2022-05-10,2789.76420012207
2022-05-11,2672.12072996185
2022-05-12,2732.2502416817797
2022-05-13,2923.679770545913
2022-05-14,2357.5115497087763
2022-05-15,3724.263887207031
2022-05-16,3999.2940786132813
2022-05-17,3045.9630291503904
2022-05-18,2295.9920617443267
2022-05-19,3505.438453125
2022-05-20,2726.736866500434
2022-05-21,3327.8465942626954
2022-05-22,3829.4240224609375
2022-05-23,2862.532150795976
2022-05-24,2747.093136311562
2022-05-25,2878.4027225295295
2022-05-26,3132.8731317545576
2022-05-27,3793.0806396484377
2022-05-28,2573.349397474501
2022-05-29,2398.539583089192
2022-05-30,2550.6306414260143
2022-05-31,2833.6417005884555
2022-06-01,2602.5237943673264
2022-06-02,4428.716241210937
2022-06-03,3662.549380859375
2022-06-04,2514.000491520182
2022-06-05,3470.150473144531
2022-06-06,2428.758776422024
2022-06-07,3121.4077642089837
2022-06-08,2367.675118946668
2022-06-09,2823.1233861421138
2022-06-10,2650.73048081636
2022-06-11,3441.18990234375
2022-06-12,2858.3241299940332
2022-06-13,2879.764543583751
2022-06-14,4200.138127604166
2022-06-15,3225.203865586636
2022-06-16,3088.8076549979073
2022-06-17,3275.6031997070313
2022-06-18,2995.6603706951823
2022-06-19,2656.1903143205923
2022-06-20,2390.1944770967034
2022-06-21,3359.9540593540733
2022-06-22,3051.211673339844
2022-06-23,3400.0100401204427
2022-06-24,4226.8722978515625
2022-06-25,3928.8707805989584
2022-06-26,2767.7687487640774
2022-06-27,2468.045516581896
2022-06-28,2926.204533051796
2022-06-29,3831.128810546875
2022-06-30,2713.069986341367
2022-07-01,2894.2114051005183
2022-07-02,2711.781814386118
2022-07-03,2807.0830385346917
2022-07-04,2689.159284446497
2022-07-05,2840.3481643849213
2022-07-06,2809.803625137184
2022-07-07,2907.3206096046088
2022-07-08,2873.606828543527
2022-07-09,4295.291228515625
2022-07-10,2440.0093172370653
2022-07-11,3080.036414921062
2022-07-12,3350.5038515380857
2022-07-13,3468.9957587890626
2022-07-14,3940.319438964844
2022-07-15,2950.581813521902
2022-07-16,3120.702834781901
2022-07-17,3390.5514929958767
2022-07-18,4349.556189697266
2022-07-19,3958.543654296875
2022-07-20,3139.727990356446
2022-07-21,2784.5943775832397
2022-07-22,2399.067663363404
2022-07-23,2733.4482550851008
2022-07-24,3285.14984375
2022-07-25,3770.8467431640624
2022-07-26,2552.7010486769905
2022-07-27,2604.130506363932
2022-07-28,2497.9842174641926
2022-07-29,4489.408728515625
2022-07-30,4422.424251953125
2022-07-31,2898.728502099609
2022-08-01,2825.055811980857
2022-08-02,2931.4360647176104
2022-08-03,4202.844151041666
2022-08-04,2498.2876678548178
2022-08-05,3963.3726235351564
2022-08-06,2388.552815506418
2022-08-07,2839.4791658416275
2022-08-08,2388.3661270717084
2022-08-09,2681.7801563325274
2022-08-10,3699.6613486328124
2022-08-11,3022.3705562093105
2022-08-12,3274.484486328125
2022-08-13,2907.3547166000976
2022-08-14,3700.7606611328124
2022-08-15,2926.161051573931
2022-08-16,2635.8088933475733
2022-08-17,2909.48197859061
2022-08-18,2924.4627725615164
2022-08-19,2900.5074947191633
2022-08-20,2436.02257292713
2022-08-21,3588.4290278320314
